task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
solicit sales of new or additional services or products.,19.0000,0.0019,3.0000,3.0000,10.9474,11.7895,0.9447,10.8684
speak foreign languages to communicate with foreign visitors.,407.0000,0.0407,3.0713,3.0000,5.7052,5.1474,0.2440,2.3813
speak to students to encourage and support the development of future political leaders.,23.0000,0.0023,3.5217,4.0000,10.3478,9.3043,1.7804,7.4130
"specify food portions and courses, production and time sequences, and workstation and equipment arrangements.",159.0000,0.0159,3.7170,4.0000,7.1195,6.6855,1.2660,9.3365
specify inputs accessed by the system and plan the distribution and use of the results.,23.0000,0.0023,2.9130,3.0000,11.2174,11.0870,1.6717,11.8043
specify power supply requirements and configuration.,44.0000,0.0044,3.7955,4.0000,12.1136,11.2500,2.3143,11.5682
specify users and user access levels for each segment of database.,111.0000,0.0111,3.2432,3.0000,13.9009,14.0450,1.2890,14.7297
"sponsor extracurricular activities such as clubs, student organizations, and academic contests.",28.0000,0.0028,3.7500,4.0000,9.9286,10.5357,2.1750,9.3750
"standardize drug dosages, methods of immunization, and procedures for manufacture of drugs and medicinal compounds.",24.0000,0.0024,3.1667,3.0000,13.9583,13.2083,2.1437,7.7708
"stay abreast of changes in import or export laws or regulations by reading current literature, attending meetings or conferences, or conferring with colleagues.",87.0000,0.0087,3.0575,3.0000,13.6092,13.4483,2.4764,11.8391
stay informed of the latest styles and hair care techniques.,27.0000,0.0027,3.4444,4.0000,7.8148,7.2593,0.8159,10.9815
stay up-to-date on new regulations and current events regarding food science by reviewing scientific literature.,79.0000,0.0079,3.3544,4.0000,13.2152,13.2152,4.1325,9.4620
store food in designated containers and storage areas to prevent spoilage.,91.0000,0.0091,3.3736,3.0000,7.5934,6.5165,0.5566,6.8462
"store, retrieve, and manipulate data for analysis of system capabilities and requirements.",1901.0000,0.1901,3.1063,3.0000,12.7943,12.9826,1.1255,11.5337
"structure or negotiate deals, such as corporate mergers, sales, or acquisitions.",506.0000,0.0506,3.3874,4.0000,15.6502,15.8992,5.0732,17.6709
study and analyze information about alternative courses of action to determine which plan will offer the best outcomes.,444.0000,0.0444,3.6577,4.0000,13.8986,13.9054,6.3971,23.8255
"study and document quantities, distribution, disposition, and development of underground and surface waters.",28.0000,0.0028,3.3214,4.0000,12.0357,11.7857,2.7643,11.6250
"study and interpret religious laws, doctrines, or traditions.",47.0000,0.0047,3.6170,4.0000,14.0851,13.1064,3.9489,16.6915
"study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.",23.0000,0.0023,3.3913,4.0000,9.0870,9.4348,2.2674,23.7826
study and research scripts to determine how they should be directed.,68.0000,0.0068,3.2500,3.0000,11.2794,12.1176,2.6824,15.6985
study animal and human health and physiological processes.,22.0000,0.0022,3.2727,3.0000,11.0000,9.0909,1.1786,8.8864
"study aquatic plants and animals and environmental conditions affecting them, such as radioactivity or pollution.",257.0000,0.0257,3.3852,4.0000,11.7899,11.2529,2.5512,10.8862
study archival collections of primary historical sources to help explain the origins and development of cultural patterns.,87.0000,0.0087,3.4828,4.0000,10.9080,10.8161,4.3600,8.9310
"study artistic objects or graphic materials, such as models, sketches, or blueprints, to plan carving or cutting techniques.",24.0000,0.0024,3.7500,4.0000,9.7500,7.5833,1.3354,8.8333
"study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and function.",160.0000,0.0160,3.3937,4.0000,11.9625,11.1812,1.7197,9.1094
study blueprints and examine surface to be covered to determine amount of material needed.,26.0000,0.0026,3.0769,3.0000,8.6154,8.1154,0.8208,9.8077
"study blueprints, design specifications, or manufacturers' recommendations to ascertain the configuration of heating or cooling equipment components and to ensure the proper installation of components.",116.0000,0.0116,3.5259,4.0000,12.8621,12.7845,3.4586,14.9181
"study celestial phenomena, using a variety of ground-based and space-borne telescopes and scientific instruments.",47.0000,0.0047,3.4043,3.0000,11.9574,11.7447,2.2613,11.6277
"study characteristics of animals, such as origin, interrelationships, classification, life histories and diseases, development, genetics, and distribution.",30.0000,0.0030,3.5667,4.0000,8.4667,7.1000,1.3527,6.7667
study different techniques to learn how to apply them to artistic endeavors.,35.0000,0.0035,3.5714,4.0000,10.3143,10.2571,2.2609,15.1271
study documentation or other information for new scientific or technical products.,722.0000,0.0722,3.2507,4.0000,11.0512,10.7521,1.4365,6.0554
"study economic and statistical data in area of specialization, such as finance, labor, or agriculture.",112.0000,0.0112,3.3571,4.0000,12.7321,12.6250,2.5719,9.8795
"study effects of various methods of processing, preserving, or packaging on composition or properties of foods.",74.0000,0.0074,3.4324,3.0000,10.1486,9.0811,1.9226,7.5473
study films or scripts to determine how musical scores can be used to create desired effects or moods.,68.0000,0.0068,3.4412,4.0000,9.9118,9.1618,1.4531,10.1250
study job specifications to determine appropriate construction methods.,25.0000,0.0025,3.2000,4.0000,11.5600,11.0800,3.3120,15.7200
"study methods to improve aspects of foods, such as chemical composition, flavor, color, texture, nutritional value, and convenience.",62.0000,0.0062,3.5000,4.0000,10.9516,10.3548,2.3719,12.4355
study nutritional requirements of animals and nutritive values of animal feed materials.,29.0000,0.0029,3.7241,4.0000,11.1379,9.3448,4.2259,14.1207
"study object documentation or conduct standard chemical and physical tests to ascertain the object's age, composition, original appearance, need for treatment or restoration, and appropriate preservation method.",68.0000,0.0068,3.5882,4.0000,9.8971,8.4412,1.0654,10.1544
"study objects and structures recovered by excavation to identify, date, and authenticate them and to interpret their significance.",85.0000,0.0085,3.4118,4.0000,10.9176,9.7294,2.4362,10.4941
study original pieces of music to become familiar with them prior to making any changes.,25.0000,0.0025,3.2000,3.0000,8.8000,8.6800,1.4112,6.7200
"study physical principles of living cells or organisms and their electrical or mechanical energy, applying methods and knowledge of mathematics, physics, chemistry, or biology.",22.0000,0.0022,3.4545,4.0000,10.7727,9.5909,0.7318,5.3045
study scripts to become familiar with production concepts and requirements.,188.0000,0.0188,3.0904,3.0000,10.2872,10.6702,2.3095,13.1888
"study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.",17.0000,0.0017,4.0000,4.0000,13.0588,12.2353,4.4559,16.2353
study the assets of criminal suspects to determine the flow of money from or to targeted groups.,18.0000,0.0018,3.6667,4.0000,14.0000,13.3333,5.7083,22.2222
"study the chemistry of living processes, such as cell development, breathing and digestion, or living energy changes, such as growth, aging, or death.",28.0000,0.0028,3.7143,4.0000,12.6071,10.7500,1.5732,11.4643
"study the economic, political, and cultural characteristics of a specific region's population.",55.0000,0.0055,3.5091,4.0000,9.8182,9.0364,1.9909,8.2273
"study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services.",388.0000,0.0388,3.5593,4.0000,13.1134,13.4510,4.4137,16.2204
study the structure and composition of food or the changes foods undergo in storage and processing.,301.0000,0.0301,3.3953,3.0000,9.8904,8.9502,2.2428,7.6944
"study the structure and function of human, animal and plant tissues, cells, pathogens and toxins.",21.0000,0.0021,3.1429,3.0000,13.5714,12.8571,0.9562,7.7381
"study work order requests to determine type of service, such as lighting or power, demanded by installation.",23.0000,0.0023,3.2174,3.0000,11.6087,11.4348,2.0696,13.9348
"study, examine, and test acquisitions to authenticate their origin, composition, history, and to assess their current value.",74.0000,0.0074,3.4054,4.0000,11.0135,10.4595,1.4774,8.6554
submit delinquent accounts to attorneys or outside agencies for collection.,17.0000,0.0017,3.4118,4.0000,15.6471,15.6471,2.2794,11.4118
suggest specific product purchases to meet customers' needs.,275.0000,0.0275,3.6218,4.0000,8.3091,7.8691,1.1611,8.6909
suggest treatments to alleviate hair problems.,139.0000,0.0139,3.4245,4.0000,8.0791,7.7338,1.0106,11.3561
"summarize pertinent legal or insurance details, or sections of statutes or case law from reference books so that they can be used in examinations, or as proofs or ready reference.",56.0000,0.0056,2.8571,3.0000,13.5000,13.5536,2.6295,10.3571
supervise and work with volunteers.,32.0000,0.0032,3.2812,3.0000,10.5000,11.0312,1.3719,11.4062
"supervise independent or group projects, field placements, laboratory work, or other training.",47.0000,0.0047,3.3617,4.0000,15.2979,15.5957,4.0574,27.4681
supervise research projects and students' study projects.,83.0000,0.0083,3.5060,4.0000,17.2289,17.5542,6.6614,23.0723
"supervise staff, volunteers, practicum students, or interns.",77.0000,0.0077,3.3377,4.0000,12.2857,13.0390,1.4468,10.7403
"supervise students' fieldwork, internship, and research work.",35.0000,0.0035,3.2857,3.0000,16.0857,16.7714,4.7186,17.1714
supervise students' laboratory work.,15.0000,0.0015,3.0667,3.0000,13.4667,13.4000,2.2867,32.8000
"supervise undergraduate or graduate teaching, internship, and research work.",47.0000,0.0047,3.2340,3.0000,16.0851,16.7447,3.4074,18.6383
"supply guests or travelers with directions, travel information, and other information, such as available services and points of interest.",127.0000,0.0127,3.2047,3.0000,8.7008,8.4094,1.7717,11.1339
"supply the latest price quotes on any security, as well as information on the activities or financial positions of the corporations issuing these securities.",313.0000,0.0313,2.9681,3.0000,10.5112,10.0256,0.7294,3.4441
support the development of training materials and technical manuals.,55.0000,0.0055,3.4000,4.0000,13.4545,13.6545,4.9845,15.9364
"synthesize analyses of test results, and use the results to prepare technical reports of findings and recommendations.",26.0000,0.0026,3.3846,4.0000,14.7308,14.4231,4.8558,17.0000
synthesize current business intelligence or trend data to support recommendations for action.,214.0000,0.0214,3.6215,4.0000,14.5514,14.5187,6.4896,14.7266
take dictation in shorthand or by machine and transcribe information.,29.0000,0.0029,2.7931,3.0000,10.3448,9.0000,0.7497,7.0000
"take dictation using shorthand, a stenotype machine, or headsets and transcribing machines.",228.0000,0.0228,2.4561,2.0000,9.7500,8.1096,0.9455,5.1732
"take orders from customers and cook foods requiring short preparation times, according to customer requirements.",39.0000,0.0039,3.5128,4.0000,6.7436,5.5385,0.6990,8.2949
"take pictures of individuals, families, and small groups, either in studio or on location.",22.0000,0.0022,3.5909,4.0000,8.8182,7.9091,0.6695,7.2727
"teach and conduct research in colleges, universities, museums, and other research agencies and schools.",115.0000,0.0115,3.4261,4.0000,14.6435,14.8348,2.6470,22.7913
teach and explain the rules and regulations governing a specific sport.,59.0000,0.0059,3.0847,3.0000,8.5254,8.2034,1.0963,7.8220
teach and mentor undergraduate and graduate students in anthropology.,33.0000,0.0033,3.1818,3.0000,15.2727,15.5758,2.4242,24.0152
"teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills.",19.0000,0.0019,3.7895,4.0000,4.9474,5.5789,1.0611,5.2895
teach behavior modification classes related to topics such as stress management or weight control.,15.0000,0.0015,3.6000,4.0000,9.2667,9.3333,2.7333,13.4667
